,ID,default_risk,pred
0,22765,0.2281151,0
1,16368,0.3406002,0
2,7452,0.5391009,1
3,2037,0.20045577,0
4,24229,0.5687927,1
5,4201,0.5486632,1
6,19538,0.2345842,0
7,6884,0.22078101,0
8,8851,0.4529235,0
9,4019,0.55372274,1
10,14013,0.3145851,0
11,19238,0.37371224,0
12,24017,0.303443,0
13,2860,0.5266602,1
14,17677,0.53421926,1
15,5625,0.25522184,0
16,4528,0.7071806,1
17,16470,0.8632152,1
18,1281,0.16947973,0
19,15515,0.13608922,0
20,14892,0.8917873,1
21,235,0.4079525,0
22,17287,0.26938242,0
23,11579,0.20808837,0
24,16314,0.35348853,0
25,511,0.43401548,0
26,16277,0.17288141,0
27,23766,0.15503916,0
28,6004,0.16654158,0
29,24613,0.27001417,0
30,13816,0.28024286,0
31,26266,0.6163781,1
32,245,0.6480399,1
33,18561,0.18412249,0
34,3216,0.17924163,0
35,20609,0.3089326,0
36,17101,0.6609785,1
37,5307,0.25903317,0
38,20838,0.19004309,0
39,23970,0.24163783,0
40,28478,0.31129888,0
41,18946,0.34319308,0
42,28752,0.2957793,0
43,774,0.27934238,0
44,26027,0.18514153,0
45,19444,0.23911041,0
46,16373,0.4422117,0
47,10002,0.47509456,0
48,17784,0.4046755,0
49,18324,0.3074001,0
50,3728,0.45914388,0
51,24698,0.8356506,1
52,17625,0.4224551,0
53,18149,0.23551695,0
54,1724,0.2490228,0
55,2152,0.26232937,0
56,27440,0.88677585,1
57,24975,0.2632509,0
58,25573,0.20661777,0
59,13327,0.45899197,0
60,19504,0.22288166,0
61,11732,0.5194281,1
62,16050,0.81317455,1
63,6662,0.18306953,0
64,22536,0.4401679,0
65,29574,0.5049407,1
66,7644,0.46299887,0
67,9464,0.56187433,1
68,15658,0.14730044,0
69,10969,0.7898438,1
70,1454,0.47889805,0
71,13639,0.184968,0
72,25983,0.82221633,1
73,13191,0.27348945,0
74,17201,0.35180038,0
75,9198,0.8214116,1
76,12172,0.25088724,0
77,18974,0.3131906,0
78,11946,0.50348836,1
79,5006,0.2980559,0
80,9070,0.40844837,0
81,3663,0.40677372,0
82,15259,0.53031844,1
83,3573,0.6912467,1
84,18840,0.27170396,0
85,22697,0.34264934,0
86,17568,0.33735725,0
87,28244,0.29410386,0
88,26768,0.4333682,0
89,18710,0.3250489,0
90,12477,0.24062864,0
91,1743,0.32590947,0
92,3493,0.27505785,0
93,1272,0.6421939,1
94,27261,0.24339843,0
95,22296,0.26528686,0
96,26260,0.5811776,1
97,21219,0.2610454,0
98,3082,0.20604035,0
99,2117,0.4095896,0
100,20181,0.5729812,1
101,5246,0.34767407,0
102,21841,0.7710004,1
103,15252,0.8533646,1
104,25347,0.32592463,0
105,25375,0.3249723,0
106,6031,0.2703504,0
107,3457,0.6819687,1
108,23607,0.57129484,1
109,14532,0.33263123,0
110,5866,0.22793153,0
111,21126,0.833106,1
112,7088,0.38521674,0
113,27431,0.37676567,0
114,25306,0.6324802,1
115,1758,0.40844893,0
116,7729,0.19919708,0
117,3608,0.49497834,0
118,28353,0.27744564,0
119,18771,0.4608929,0
120,880,0.84430885,1
121,23321,0.48689303,0
122,27591,0.26114982,0
123,13613,0.46157268,0
124,3247,0.40711224,0
125,26181,0.35659498,0
126,18756,0.121456884,0
127,22100,0.2189123,0
128,28829,0.25666603,0
129,29971,0.13904926,0
130,8322,0.3674941,0
131,4991,0.5165116,1
132,25049,0.23174435,0
133,21934,0.2844063,0
134,1232,0.24532087,0
135,11944,0.39941224,0
136,101,0.4156742,0
137,6742,0.45218828,0
138,4952,0.6641728,1
139,23206,0.46274123,0
140,24790,0.46437913,0
141,9141,0.3102868,0
